地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,306,306,291,289,290,289,305,325,328,335
天津市,180,181,193,202,209,214,218,221,221,231
河北省,578,567,563,565,598,615,661,713,761,801
山西省,505,499,504,511,519,534,544,559,569,589
内蒙古自治区,284,278,277,272,279,289,306,324,342,359
辽宁省,412,415,416,417,422,419,426,435,445,470
吉林省,239,240,243,244,248,257,262,278,291,296
黑龙江省,377,378,379,398,411,416,430,445,463,475
上海市,253,246,243,246,247,261,273,283,309,317
江苏省,569,567,578,594,618,653,710,737,781,838
浙江省,563,561,569,571,569,569,582,594,603,611
安徽省,666,694,698,716,734,743,769,782,779,786
福建省,540,542,544,543,559,575,606,610,616,636
江西省,460,442,436,435,438,452,476,540,549,587
山东省,555,544,547,557,565,592,632,682,750,787
河南省,770,774,776,785,792,825,868,908,920,955
湖北省,532,541,563,575,585,603,622,655,668,689
湖南省,575,580,577,589,594,622,684,742,773,800
广东省,1019,1012,1015,1017,1012,1026,1020,1018,1019,1005
广西壮族自治区,445,445,453,450,446,463,478,493,522,537
海南省,106,104,102,103,102,107,108,110,110,111
重庆市,261,258,261,262,263,268,267,268,262,286
四川省,726,732,735,735,740,747,758,775,806,809
贵州省,430,438,448,446,447,444,451,456,485,482
云南省,465,446,440,444,444,451,457,460,465,452
西藏自治区,30,29,29,30,30,29,24,23,23,45
陕西省,488,506,511,530,544,569,586,615,636,641
甘肃省,386,402,428,445,436,452,463,480,493,495
青海省,101,102,105,109,112,119,126,138,141,142
宁夏回族自治区,62,61,62,63,67,70,82,93,97,100
新疆维吾尔自治区,357,363,366,366,368,385,413,444,454,486
